No.,name,problem,content,originallity,appropriateness,pcat1,pcat2,pcat3,ccat1,ccat2,ccat3,select_pcat,no1,no2,no3
1,,上司のパワハラや教育方法が明確でない。残業代未払いや時間外労働。ミスに対していつまでも根に持つ。,上司解雇。労働監督署の指導。教育方法の見直し。タイムカードの取付。月に１回は全体会議を開き内部状況を報告する,2,4,4,8,7,,,,,,,
2,,とにかく紙での情報媒体が多く、又、重要なデータもパソコン毎に2〜3重持ちしており、最新版管理が出来ていません。,"サーバ等、高価な機器は要りません。メインのPCを決め、業務に必要なデータを、業務に必要なパソコンのみで共有化します。
又、共有化されたデータは、外付けのメディアに1回/日、バックアップを採取する運用を定着すれば、業務の効率化とデータ管理の高度化が図れます。",3,4,10,,,,,,,,,
3,,不透明な説明がかなりあるような職場は、好感度は、ないと思います。,とにかく情報を得て、ちゃんとした場所で解決して、周りにわかりやすく説明すれば、いいと思う。,1,2,5,,,,,,,,,
4,,会社の上司が仕事に私情をはさみ好き嫌いで仕事を任せるか任せないか決めていることが問題点です,仕事を任せるのは私情ではなく仕事ができるかできないかで判断してもらう,1,2,4,,,,,,,,,
5,,煙草の吸殻の放置や日頃の挨拶などマナーやモラルが守られていないこと。,定期的に講習などを行いリーダーが担当部下などにしっかりと指導するように改善する。,2,3,6,12,,,,,,,,
6,,仕事が分担割りされているのだが、それぞれの分担でどのような状況なのかが他のひとにあまり伝わっていない。急な問い合わせのあった時に慌てるし、イベント事なので当日の動きなどギリギリにならないとわからない。,小さな職場でも定期的なミーティングがあれば大分改善すると思う。文書をまわすだけではやはり伝わりにくい部分がある。,2,3,5,,,,,,,,,
7,,気分にムラがある人がいて、職場の空気が日によって良かったり悪かったり違うこと。,会話をする事が必要だが、職場ではなかなか暗い雰囲気から抜け出せないこともあるので、仕事終わってから食事に行ったり、職場以外で話す機会が必要ではないかと思う。,2,3,6,,,,,,,,,
8,,ほぼ女性しかいない職場であり、閉鎖的空間である。外部からの人の出入りも少なく、内部の問題が外部にわかりにくい。,長年同じ部署にとどまる人も多いため、外部に出入りするように提案した。,2,3,6,,,,,,,,,
9,,スタッフ全員が暗いです。その為お客様クライアントにも伝わってしまい、業績が落ちています。,やはり対人のお仕事なので笑顔を作ること、朝しっかり挨拶する事。作り笑顔でもやっているうちに楽しくなるのではないかと思います、,2,3,6,,,,,,,,,
10,,職場内の空気が固く、新入社員が気軽に質問などできる雰囲気がない。,職場内で挨拶の回数を増やしたり、上司が率先して世間話などでも話し出すようにする。,2,3,6,,,,,,,,,
11,,月に2回、ノー残業デーがあるのですが、実際にはノー残業デーでも、みんな残業していて、帰りづらい雰囲気が問題だと思います。,上司が率先してノー残業デーを実施して、部下より先に帰り、帰りやすい雰囲気を出したり、上司が「ノー残業デーだから、今日は帰れ」と部下に声かけをすれば、帰りやすくなると思います。,2,3,7,,,,,,,,,
12,,会社では年功序列という風潮がまたまだ抜けてないので年上の言う事は言いなりになってしまう。,やっぱり年功序列という風潮が悪いとは思いませんが、古いやり方は新しくしないと時代は変わります。年下の意見を聞き入れる機会を作らないといけないと思います。,2,3,10,,,,,,,,,
13,,職場の人達それぞれのコミュニケーション不足が事務所内の雰囲気を悪くしている,あいさつなど、出来ることから積極的にみんなとして、少しでも明るくすること。,2,3,6,,,,,,,,,
14,,人間関係。うわべだけの人間関係が業務において悪影響を与えている。信頼感がないので簡単に裏切る。,会社からの経費で社員で飲み会の実施。現在の不満や相談事を簡単に話せる場所があればよいと思う。,2,3,6,,,,,,,,,
15,,部署によって忙しさが違い、しかももっと忙しい部署からすればそう忙しくもない部署の人間の忙しい自慢の愚痴。,それぞれが愚痴程度ですんでるうちはいい。愚痴れる空間(社外がいいのかもしれないけど、飲食店はお金かかる)が男女別、上司が来ない、があるといい。本来あったはずの休憩所が仕事場に転換されて休憩所がほとんど無くなった。,2,3,4,,,,,,,,,
16,,私の職場は、新入社員や転職者へのサポートが乏しく、教えるといった概念がないことが問題に感じます。,新入社員への教えなければ、結果として失うものが大きいように感じます。教わるだけでなく、教えることに対しての教育制度も設けるといいかと思います。,2,3,9,,,,,,,,,
17,,"お局様達の新人イビリが凄い所。

それを上司が見てみぬふりをしている点。",常に笑顔でにこにこしながら痛くも痒くも無い様に装ってます。そうするとお局様達もつまらないみたいで去って行きます。,2,3,7,,,,,,,,,
18,,３人の上司のいる部屋があるが、誰が在室中なのかわからない。急用でなければ、社内用PHSを利用してわざわざ居場所確認をしたり、時間を取ってもらいにくい。印鑑の捺印が欲しいとか、仕事についての相談など、在室していて時間を取ってもらいやすそうなら声をかけている状況。ドアを開けて、用事のある上司が不在だと他の在室中の上司に申し訳ない気持ちになるし、そのあと、何度行ってもタイミングが合わずに合えないと時間が勿体ない。,各上司の在室不在のカードを作って、わかりやすくする。そうすれば、部屋の前に行っただけで状況がわかり、不在ならわざわざ部屋の扉を開ける必要がなくなる。,3,4,5,,,,,,,,,
